id,compras,producto,cantidad,nombre,apellido,email,ciudad,edad,telefono
31,800,paleta,5,Daniel,Parra,daniel@mail.com,Cali,34.0,3008889999
32,1500,galleta,2,Lina,Garcia,lina@gmail.com,Bogota,22.0,3019990000
33,1900,chocolate,1,Oscar,Duarte,oscar@gmail.com,Cartagena,44.0,3001110000
34,1700,malvavisco,2,Fernanda,Castillo,fernanda@mail.com,Medellin,29.0,3000001111
35,1200,chicle,3,Andrea,Gomez,andrea@gmail.com,Bogota,28.11,3011110000
36,1400,bombon,1,Kevin,Mendez,kevin@mail.com,Medellin,26.0,3123456789
37,1600,gomitas,2,Lucia,Prieto,lucia@gmail,Cali,18.0,000000
38,2100,chocolate,1,Esteban,Marin,esteban@mail.com,Bogota,33.0,3001239999
39,24000,chocolate,10,Santiago,Lopez,santiago@mail.com,Bogota,37.0,3012223333
40,1300,candy,2,Andrea,Rojas,andrea@gmail.com,Medellin,25.0,3003334444
41,2000,chicle,2,Juan,Perez,juan@gmail.com,Bogota,25.0,3001234567
42,3500,chocolate,1,Maria,Gomez,maria@gmail.com,Medellin,19.0,3012345678
43,1500,caramelo,3,Carlos,Lopez,carlos@gmail.com,Cali,34.0,Abc123456
44,1500,chicle,5,Ana,Rodriguez,ana@gmail.com,Bogota,17.0,3009876543
45,4000,galleta,1,Luis,Martinez,luis@gmail.com,Barranquilla,40.0,0
46,8000,chocolate,2,Pedro,Ramirez,pedro@mail.com,Bogota,28.0,3104567890
47,1000,bombon,4,Luisa,Fernandez,luisa@gmail.com,Medellin,22.0,3001234567
48,7000,galleta,1,Sara,Gutierrez,sara@gmail.com,Cali,31.0,3207654321
49,2500,chocolate,2,Sofia,Hernandez,sofia@gmail.com,Bogota,18.0,0
50,500,paleta,10,Paula,Vargas,paula@mail.com,Bogota,27.0,3011111111
51,1800,chicle,1,Paula,Vargas,paula@mail.com,Bogota,27.0,3011111111
52,3200,galleta,2,Camilo,Ruiz,camilo@gmail.com,Medellin,33.0,3002223333
53,1200,gomitas,1,Valentina,Castro,valentina@mail.com,Cali,21.0,Notphone
54,9000,chocolate,1,Diego,Ortega,diego@gmail.com,Bogota,29.0,3004445555
55,1300,candy,3,Laura,Morales,laura@mail.com,Barranquilla,35.0,3112223344
56,7500,chocolate,1,Sebastian,Arias,sebastian@gmail.com,Bogota,26.0,3001231234
57,1600,malvavisco,2,Andrea,Mejia,andrea@mail.com,Medellin,20.0,3010000000
58,900,galleta,1,Jorge,Silva,jorge@mail.com,Cali,38.0,3023334444
59,2800,chocolate,1,Camila,Romero,camila@gmail.com,Barranquilla,24.0,Invalid
60,95000,caja dulces,10,Felipe,Navarro,felipe@mail.com,Bogota,30.0,3200000000
61,12000,caja dulces,1,Roberto,Acosta,roberto@gmail.com,Medellin,41.0,3009998888
62,900,chicle,2,Sara,Quintero,sara@gmail.com,Cali,40.0,3011239876
63,1300,bombon,1,Sara,Quintero,sara@gmail.com,Cali,23.0,3011239876
64,1400,gomitas,2,Diana,Pena,diana@mail.com,Bogota,36.0,0
65,15000,caja dulces,1,Alberto,Suarez,alberto@gmail.com,Medellin,50.0,3007776666
66,1600,gomitas,3,Julian,Rios,julian@mail.com,Cali,28.0,3001112222
67,3000,chocolate,1,Paola,Cardenas,paola@gmail.com,Barranquilla,19.0,Phone123
68,1350,candy,2,Miguel,Lopez,miguel@gmail.com,Bogota,32.0,3002221111
69,2000,chicle,1,Miguel,Lopez,miguel@gmail.com,Bogota,32.0,3002221111
70,4500,galleta,1,Carolina,Velez,carolina@mail.com,Medellin,27.0,3005550000
71,800,paleta,5,Daniel,Parra,daniel@mail.com,Cali,34.0,3008889999
72,1500,galleta,2,Lina,Garcia,lina@gmail.com,Bogota,22.0,0
73,1900,chocolate,1,Oscar,Duarte,oscar@gmail.com,Cartagena,44.0,3001110000
74,1700,malvavisco,2,Fernanda,Castillo,fernanda@mail.com,Medellin,28.11,3000001111
75,1200,chicle,3,Andrea,Gomez,andrea@gmail.com,Bogota,28.11,3011110000
76,1400,bombon,1,Kevin,Mendez,kevin@mail.com,Medellin,26.0,3123456789
77,1600,gomitas,2,Lucia,Prieto,lucia@gmail.com,Cali,18.0,000000
78,2100,chocolate,1,Esteban,Marin,esteban@mail.com,Bogota,33.0,3001239999
79,2400,chocolate,1,Santiago,Lopez,santiago@mail.com,Bogota,37.0,3012223333
80,1300,candy,2,Andrea,Rojas,andrea@gmail.com,Medellin,25.0,3003334444
81,$2000,chicle,2,Juan,Perez,juan@gmail.com,Bogota,25.0,3001234567
82,3500,chocolate,1,Maria,Gomez,maria@gmail.com,Medellin,19.0,3012345678
83,15000,caramelo,30,Carlos,Lopez,carlos@gmail.com,Cali,34.0,Abc123456
84,1500,chicle,5,Ana,Rodriguez,ana@gmail.com,Bogota,17.0,3009876543
85,4000,galleta,1,Luis,Martinez,luis@gmail.com,Barranquilla,40.0,0
86,8000,chocolate,2,Pedro,Ramirez,pedro@mail.com,Bogota,28.0,3104567890
87,1000,bombon,4,Luisa,Fernandez,luisa@gmail.com,Medellin,22.0,3001234567
88,7000,galleta,1,Sara,Gutierrez,sara@gmail.com,Cali,31.0,3207654321
89,2500,chocolate,2,Sofia,Hernandez,sofia@gmail.com,Bogota,18.0,0
90,500,paleta,10,Andres,Torres,andres@mail.com,Cartagena,45.0,3005556677
91,7000,galleta,1,Paula,Vargas,,Bogota,27.0,3011111111
92,$3200,galleta,2,Camilo,Ruiz,camilo@gmail.com,Bogota,33.0,3002223333
93,1200,gomitas,1,Valentina,Castro,valentina@mail.com,Cali,21.0,Notphone
94,9000,chocolate,1,Diego,Ortega,diego@gmail.com,Bogota,29.0,3004445555
95,1300,candy,3,Laura,Morales,laura@mail.com,Barranquilla,35.0,3112223344
96,7500,chocolate,1,Sebastian,Arias,sebastian@gmail.com,Bogota,26.0,3001231234
97,1600,malvavisco,2,Andrea,Mejia,andrea@mail.com,Medellin,40.0,3010000000
98,900,galleta,1,Jorge,Silva,jorge@mail.com,Bogota,38.0,3023334444
99,28000,chocolate,10,Camila,Romero,camila@gmail.com,Bogota,24.0,0
100,9500,caja dulces,1,Felipe,Navarro,felipe@mail.com,Bogota,30.0,3200000000
